genre,1917,1918,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Gore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,2,4,5,1,3,1,5,2,3,3,1,2,4,1,4,4,6,7,8,10,5,6,5,7,11,7,12,6,15,13,16,10,8,7,11,16,6,4,1
Gourmet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,2,1,0,0,0,1,0,1,1,2,2,0,1,2,5,4,2,6,4,7,7,6,6,8,13,19,18,8,5,12,11,9,20,4,0
Harem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,2,3,2,6,2,9,6,12,12,18,14,14,18,24,20,30,29,24,27,30,14,17,16,15,14,12,17,19,11,7,0
Hentai,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,15,1,4,4,6,11,8,4,3,18,16,28,23,24,29,42,82,68,71,54,41,37,45,38,44,56,60,40,55,57,54,47,51,45,37,47,43,44,44,42,10,0
High Stakes Game,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,1,5,3,4,4,1,7,3,3,1,2,1,2,2,5,0,1
Historical,0,2,0,0,1,1,3,2,2,3,0,4,1,4,2,4,2,1,1,0,2,1,4,3,1,0,1,0,0,0,0,1,1,0,0,0,2,0,1,1,2,5,3,3,3,0,1,4,3,3,4,4,4,4,4,9,11,9,9,14,16,17,17,8,11,7,13,18,16,15,19,20,22,20,10,16,17,14,7,14,19,23,18,21,34,33,26,37,30,32,42,46,51,33,42,33,55,61,68,53,52,70,53,77,84,30,1
Horror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,2,1,0,0,1,0,0,0,2,4,3,0,0,2,7,13,7,9,12,11,7,5,11,13,9,10,8,9,22,9,9,12,12,7,22,14,13,10,11,12,26,10,16,18,31,29,28,14,13,16,11,18,12,9,0
Idols (Female),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,2,1,0,3,0,0,0,0,2,2,1,2,3,5,11,12,20,20,14,15,22,27,21,34,47,29,26,3,0
Idols (Male),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,6,8,13,20,23,32,15,25,18,6,4,0
Isekai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,0,3,2,0,0,1,2,5,4,2,5,4,2,5,2,4,7,5,5,4,1,0,4,8,4,5,7,12,14,16,18,20,37,36,47,45,23,2
Iyashikei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,6,2,8,9,5,5,9,6,9,12,8,14,8,12,6,5,12,11,9,6,1,0
Josei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,2,2,5,2,3,5,3,9,8,7,15,10,5,11,9,11,6,4,3,10,8,3,3,0
